r,accuracy,target
"[2.3783011436462402, 0.5138387680053711, 0.5]"
"[2.0629971027374268, 0.6241956353187561, 0.5]"
"[1.703959345817566, 0.9482656717300415, 0.5]"
"[1.7376610040664673, 0.5574177503585815, 0.5]"
"[1.7290003299713135, 0.7754974961280823, 0.5]"
"[1.6743695735931396, 0.6720667481422424, 0.5]"
"[1.4163411855697632, 0.8873499631881714, 0.5]"
"[2.1425273418426514, 0.5596974492073059, 0.5]"
"[1.8584961891174316, 0.6414814591407776, 0.5]"
"[2.493224859237671, 0.5022026300430298, 0.5]"
"[2.3251898288726807, 0.5030674934387207, 0.5]"
"[1.336590051651001, 0.7846320271492004, 0.5]"
"[1.8354525566101074, 0.6393544673919678, 0.5]"
"[2.247220754623413, 0.5063878893852234, 0.5]"
"[1.9947330951690674, 0.5208333730697632, 0.5]"
"[1.7529170513153076, 0.6968421339988708, 0.5]"
"[2.14663028717041, 0.6007640957832336, 0.5]"
"[2.129178285598755, 0.5208075642585754, 0.5]"
"[2.38503360748291, 0.5056737661361694, 0.5]"
"[1.6570794582366943, 0.7809076309204102, 0.5]"
"[2.0975911617279053, 0.6704307794570923, 0.5]"
"[2.170668601989746, 0.5057680606842041, 0.5]"
"[2.3206424713134766, 0.5015234351158142, 0.5]"
"[1.9205124378204346, 0.5167037844657898, 0.5]"
"[2.06278657913208, 0.5080576539039612, 0.5]"
"[1.382154107093811, 0.6666666865348816, 0.5]"
"[1.5739386081695557, 0.5125000476837158, 0.5]"
"[1.8379569053649902, 0.5014594197273254, 0.5]"
"[2.2353665828704834, 0.5543307065963745, 0.5]"
"[2.0140321254730225, 0.5060606002807617, 0.5]"
"[2.133561611175537, 0.5009523630142212, 0.5]"
"[2.206153154373169, 0.5031265020370483, 0.5]"
"[2.093726396560669, 0.5598885416984558, 0.5]"
"[2.346062660217285, 0.5002461671829224, 0.5]"
"[2.2133641242980957, 0.5049504637718201, 0.5]"
"[2.044013023376465, 0.5016835331916809, 0.5]"
"[2.4997398853302, 0.5883620381355286, 0.5]"
"[2.289334535598755, 0.5019011497497559, 0.5]"
"[1.6464502811431885, 0.7087334394454956, 0.5]"
"[2.093498706817627, 0.5016738176345825, 0.5]"
"[2.0108041763305664, 0.5022371411323547, 0.5]"
"[2.3036575317382812, 0.5276938676834106, 0.5]"
"[2.0915043354034424, 0.5095541477203369, 0.5]"
