r,accuracy,target
"[1.823542594909668, 0.6562526822090149, 0.5]"
"[1.9359683990478516, 0.8286335468292236, 0.5]"
"[2.1725926399230957, 0.5806359648704529, 0.5]"
"[1.8632431030273438, 0.6607481241226196, 0.5]"
"[1.7996143102645874, 0.6601587533950806, 0.5]"
"[2.0690994262695312, 0.64475017786026, 0.5]"
"[1.781134843826294, 0.5008106827735901, 0.5]"
"[2.3169708251953125, 0.5001631379127502, 0.5]"
"[1.7992937564849854, 0.6616424918174744, 0.5]"
"[2.022879123687744, 0.5053235292434692, 0.5]"
"[2.4663331508636475, 0.5000801682472229, 0.5]"
"[2.516417980194092, 0.5410813689231873, 0.5]"
"[1.891066074371338, 0.8314323425292969, 0.5]"
"[2.6213784217834473, 0.500497043132782, 0.5]"
"[1.9592784643173218, 0.6663740277290344, 0.5]"
"[1.9205615520477295, 0.6575861573219299, 0.5]"
"[2.266587257385254, 0.647774338722229, 0.5]"
"[1.614558458328247, 0.9989058971405029, 0.5]"
"[4.201430797576904, 0.5001707077026367, 0.5]"
"[2.192101001739502, 0.5005834698677063, 0.5]"
"[2.162153482437134, 0.659857451915741, 0.5]"
"[1.5983281135559082, 0.8318622708320618, 0.5]"
"[1.8065662384033203, 0.6666666865348816, 0.5]"
"[2.2466702461242676, 0.5036349296569824, 0.5]"
"[2.2565195560455322, 0.6610046625137329, 0.5]"
"[2.530756711959839, 0.6645789742469788, 0.5]"
"[2.324540853500366, 0.5001699328422546, 0.5]"
"[1.4644016027450562, 0.9988196492195129, 0.5]"
"[1.8018174171447754, 0.6640041470527649, 0.5]"
"[2.0199904441833496, 0.663188099861145, 0.5]"
"[1.593825101852417, 0.832553505897522, 0.5]"
"[2.5239510536193848, 0.5016077160835266, 0.5]"
"[2.3417763710021973, 0.6659966707229614, 0.5]"
"[2.1483449935913086, 0.5006374716758728, 0.5]"
"[2.148925304412842, 0.6616483926773071, 0.5]"
"[1.7260648012161255, 0.8316601514816284, 0.5]"
"[1.901082992553711, 0.5002058744430542, 0.5]"
"[2.104637622833252, 0.6651128530502319, 0.5]"
"[1.803328037261963, 0.5002184510231018, 0.5]"
"[1.978679895401001, 0.6662859320640564, 0.5]"
"[2.7261247634887695, 0.5001594424247742, 0.5]"
"[2.0645639896392822, 0.5001851916313171, 0.5]"
"[1.877598762512207, 0.5001865029335022, 0.5]"
