r,accuracy
"[0.5968987345695496, 0.9609164595603943]"
"[0.6761159896850586, 0.9611788392066956]"
"[0.5504393577575684, 0.961550772190094]"
"[0.578098475933075, 0.963829517364502]"
"[0.6801601648330688, 0.9609504342079163]"
"[0.4999043047428131, 0.9617750644683838]"
"[0.5313750505447388, 0.9653972387313843]"
"[1.0018630027770996, 0.9630862474441528]"
"[0.7441490888595581, 0.9627654552459717]"
"[0.46816012263298035, 0.9639240503311157]"
"[0.823326051235199, 0.9605896472930908]"
"[0.5389944314956665, 0.9623656272888184]"
"[0.5238291025161743, 0.9625397324562073]"
"[0.7425252199172974, 0.9665144681930542]"
"[0.6848766803741455, 0.9596249461174011]"
"[0.5339015126228333, 0.9632985591888428]"
"[0.5868811011314392, 0.9617189168930054]"
"[0.4525144696235657, 0.9658899903297424]"
"[0.6123833656311035, 0.961462140083313]"
"[0.5892910361289978, 0.9608590006828308]"
"[0.7401878833770752, 0.9596740007400513]"
"[0.7049384713172913, 0.9591699838638306]"
"[0.693698525428772, 0.9601618647575378]"
"[0.7042021751403809, 0.961505651473999]"
"[0.4900744557380676, 0.9597802758216858]"
"[0.6989799737930298, 0.9623608589172363]"
"[0.5779264569282532, 0.9624353647232056]"
"[0.719745934009552, 0.9621542692184448]"
"[0.5035231709480286, 0.9627985954284668]"
"[0.5939863920211792, 0.9627711176872253]"
"[0.8155025839805603, 0.9607238173484802]"
"[0.6108019351959229, 0.9619995951652527]"
"[0.5134268999099731, 0.9635584354400635]"
"[0.468732088804245, 0.9626777172088623]"
"[0.624208390712738, 0.9635745286941528]"
"[0.7059446573257446, 0.9608594179153442]"
"[0.9768030643463135, 0.9617840647697449]"
"[0.7022935152053833, 0.9584013819694519]"
"[0.7115367650985718, 0.9590385556221008]"
"[0.4934265613555908, 0.9600629806518555]"
"[0.5116605162620544, 0.9616784453392029]"
"[0.6075847148895264, 0.9628322720527649]"
"[0.503635823726654, 0.9610012769699097]"
"[0.6093598008155823, 0.9625850319862366]"
"[0.9384783506393433, 0.9619957208633423]"
"[0.4858131408691406, 0.9625062346458435]"
"[0.43351083993911743, 0.960644006729126]"
"[0.5245486497879028, 0.9586584568023682]"
"[0.6352730393409729, 0.963473916053772]"
"[0.521542489528656, 0.9633210897445679]"
"[0.9613802433013916, 0.9627888798713684]"
"[0.5825967788696289, 0.959675669670105]"
"[0.8149456977844238, 0.9640994071960449]"
"[0.6835604906082153, 0.9605302214622498]"
"[0.5476027727127075, 0.9608343243598938]"
"[0.6593061089515686, 0.959844172000885]"
"[0.45747220516204834, 0.9600715041160583]"
"[0.6720991134643555, 0.963329553604126]"
"[0.7240968942642212, 0.9634503126144409]"
"[0.6160714030265808, 0.9620357155799866]"
"[0.614532470703125, 0.9629508852958679]"
"[0.7183732986450195, 0.9607282876968384]"
"[0.797593891620636, 0.9603930115699768]"
"[0.5992611646652222, 0.9613927602767944]"
"[0.43615418672561646, 0.9621896147727966]"
"[0.45651015639305115, 0.9629391431808472]"
"[0.6020848751068115, 0.9621464014053345]"
"[0.6412432193756104, 0.963608980178833]"
"[0.49648627638816833, 0.9639000296592712]"
"[0.5673108100891113, 0.9607530236244202]"
"[0.5483253598213196, 0.9623672366142273]"
"[0.4471402168273926, 0.9605602025985718]"
"[0.5471314787864685, 0.9629997611045837]"
"[0.6191978454589844, 0.9610527157783508]"
"[0.5493286848068237, 0.9628040194511414]"
"[0.5451504588127136, 0.9589201807975769]"
"[0.9478591680526733, 0.9617913365364075]"
"[0.7300888299942017, 0.9649420976638794]"
"[0.6588356494903564, 0.9618246555328369]"
"[0.5191777944564819, 0.9638369679450989]"
"[0.5609327554702759, 0.962073564529419]"
"[0.6541464924812317, 0.9599423408508301]"
"[0.5250080227851868, 0.9582528471946716]"
"[0.5875037312507629, 0.9581050276756287]"
"[0.5220387578010559, 0.962439775466919]"
"[0.5858138799667358, 0.9600411057472229]"
"[0.6087941527366638, 0.9599170684814453]"
"[0.5561539530754089, 0.9621652960777283]"
"[0.5173734426498413, 0.9606403708457947]"
"[0.5920658707618713, 0.9623094201087952]"
"[0.4965474009513855, 0.9605932831764221]"
"[0.7072678804397583, 0.9599999785423279]"
"[0.6938115358352661, 0.96288001537323]"
"[0.5720595121383667, 0.9623656272888184]"
"[0.6304171681404114, 0.9611190557479858]"
"[0.6368795037269592, 0.9584745764732361]"
"[0.5896906852722168, 0.9643697738647461]"
"[0.48355787992477417, 0.9592306017875671]"
"[0.5889170169830322, 0.9614287614822388]"
"[0.4926435649394989, 0.9620741009712219]"
"[0.6277879476547241, 0.9592022895812988]"
"[0.46903857588768005, 0.9600118398666382]"
"[0.708091139793396, 0.9625505208969116]"
"[0.5914587378501892, 0.9630101919174194]"
"[0.6056082844734192, 0.960882842540741]"
"[0.6284373998641968, 0.9596168994903564]"
"[0.7288061380386353, 0.9597407579421997]"
"[0.5689985156059265, 0.9620072245597839]"
"[0.5142211318016052, 0.9600705504417419]"
"[0.6205640435218811, 0.9651045203208923]"
"[0.4605739414691925, 0.9603333473205566]"
