r,accuracy
"[0.612680971622467, 0.9596570730209351]"
"[0.5697532296180725, 0.9647984504699707]"
"[0.711249589920044, 0.9623085856437683]"
"[0.6359846591949463, 0.9618821144104004]"
"[0.588064432144165, 0.9614124298095703]"
"[0.693300724029541, 0.959783673286438]"
"[0.6234105825424194, 0.9627007842063904]"
"[0.6131937503814697, 0.9595574140548706]"
"[0.7681198120117188, 0.96614670753479]"
"[0.6038185954093933, 0.9612585306167603]"
"[0.5245164036750793, 0.9621972441673279]"
"[0.49354010820388794, 0.9607961177825928]"
"[0.593261182308197, 0.9630939960479736]"
"[0.5745658278465271, 0.9615993499755859]"
"[0.6446437835693359, 0.9601656794548035]"
"[0.6357938647270203, 0.9615042209625244]"
"[0.6767627596855164, 0.9632099866867065]"
"[0.5516880750656128, 0.9634561538696289]"
"[0.520546019077301, 0.9583191275596619]"
"[0.5961300134658813, 0.9622098207473755]"
"[0.8740243911743164, 0.9584689736366272]"
"[0.4898747503757477, 0.9617428183555603]"
"[0.7014734745025635, 0.9632294178009033]"
"[0.7663165926933289, 0.9622095823287964]"
"[0.6626251339912415, 0.9643509984016418]"
"[0.5287865996360779, 0.96278977394104]"
"[0.5700806379318237, 0.9561538100242615]"
"[0.5924171209335327, 0.9605613350868225]"
"[0.4705051779747009, 0.9627713561058044]"
"[0.7134387493133545, 0.9594095945358276]"
"[0.6532614231109619, 0.9637088179588318]"
"[0.8134554028511047, 0.9623672366142273]"
"[0.5216130614280701, 0.9607843160629272]"
"[0.7750495076179504, 0.9604393243789673]"
"[0.6493164896965027, 0.9641302227973938]"
"[0.6687257289886475, 0.9616538286209106]"
"[0.5048675537109375, 0.9643044471740723]"
"[0.48063185811042786, 0.9638590216636658]"
"[0.7801855802536011, 0.960133969783783]"
"[0.7360551357269287, 0.9646494388580322]"
"[0.7256917953491211, 0.9639544486999512]"
"[0.5271121859550476, 0.9618903994560242]"
"[0.4584709703922272, 0.9631268382072449]"
"[0.6099972724914551, 0.9647467136383057]"
"[0.7660509347915649, 0.9646711349487305]"
"[0.4904922842979431, 0.959735095500946]"
"[0.6531814932823181, 0.9577251672744751]"
"[0.7412227392196655, 0.9595877528190613]"
"[0.6935356855392456, 0.9628540277481079]"
"[0.9004524946212769, 0.9615312814712524]"
"[0.60557621717453, 0.9604785442352295]"
"[0.4513258934020996, 0.9614719748497009]"
"[0.6144452095031738, 0.9620579481124878]"
"[0.6172474026679993, 0.9598522186279297]"
"[0.4615184962749481, 0.962863564491272]"
"[0.729722261428833, 0.9632741808891296]"
"[0.6035487651824951, 0.9595350027084351]"
"[0.5083575248718262, 0.9595299959182739]"
"[0.5940151810646057, 0.9620699286460876]"
"[0.7400283217430115, 0.9567810893058777]"
"[0.6548243165016174, 0.9628357291221619]"
"[0.5521049499511719, 0.9647455811500549]"
"[0.5587174892425537, 0.9639145731925964]"
"[0.5430038571357727, 0.960608959197998]"
"[0.5846852660179138, 0.962847113609314]"
"[0.5309597253799438, 0.9646207690238953]"
"[0.563735842704773, 0.9561718106269836]"
"[0.3809554874897003, 0.9619622826576233]"
"[0.5701204538345337, 0.9586043357849121]"
"[0.6123960614204407, 0.960660457611084]"
"[0.5410179495811462, 0.961819589138031]"
"[0.7054623961448669, 0.9607093930244446]"
"[0.4941020607948303, 0.9621236324310303]"
"[0.5341704487800598, 0.9617888927459717]"
"[0.7594668865203857, 0.96144038438797]"
"[0.5081707239151001, 0.9577049612998962]"
"[0.7472438812255859, 0.9616774916648865]"
"[0.6277297735214233, 0.9614067077636719]"
"[0.684535801410675, 0.9632093906402588]"
"[0.5888577699661255, 0.9608458876609802]"
"[0.5264962911605835, 0.9600550532341003]"
"[0.688840389251709, 0.9619784951210022]"
"[0.6246678233146667, 0.9632321000099182]"
"[0.5153966546058655, 0.9633830189704895]"
"[0.53305584192276, 0.962494969367981]"
"[0.5513890385627747, 0.9598185420036316]"
"[0.623766303062439, 0.9619656205177307]"
"[0.5653417706489563, 0.9632625579833984]"
"[0.5322238206863403, 0.9600371718406677]"
"[0.5472907423973083, 0.9632768630981445]"
"[0.6741139888763428, 0.962215781211853]"
"[0.5335928797721863, 0.9634444713592529]"
"[0.960928738117218, 0.9636552333831787]"
"[0.8557401895523071, 0.9613158702850342]"
"[0.5485596060752869, 0.9610472917556763]"
"[0.5691189169883728, 0.9609876871109009]"
"[0.6671261787414551, 0.960614800453186]"
"[0.5573617815971375, 0.9619609117507935]"
"[0.4766983389854431, 0.9622807502746582]"
"[0.5865325927734375, 0.9627729654312134]"
"[0.4243384301662445, 0.9624741673469543]"
"[0.8057535886764526, 0.961287260055542]"
"[0.7544719576835632, 0.9628364443778992]"
"[0.476652055978775, 0.9612255692481995]"
"[0.6993550062179565, 0.9625649452209473]"
"[0.7017189860343933, 0.9630181789398193]"
"[0.7097986936569214, 0.9616142511367798]"
"[0.6414534449577332, 0.9659824967384338]"
"[0.7397570013999939, 0.9601472020149231]"
"[0.6018157601356506, 0.9627940058708191]"
"[0.5852180123329163, 0.960660457611084]"
"[0.4695916473865509, 0.9624105095863342]"
"[0.6711505651473999, 0.9606873393058777]"
"[0.4893982410430908, 0.9618423581123352]"
"[0.7822268009185791, 0.960645318031311]"
"[0.7105609178543091, 0.961711049079895]"
"[0.6071619987487793, 0.9643493294715881]"
"[0.7593340873718262, 0.9595515131950378]"
"[0.6263798475265503, 0.9611976146697998]"
"[0.8546515703201294, 0.9633147716522217]"
"[0.7288551926612854, 0.9611617922782898]"
"[1.098583698272705, 0.9605050683021545]"
"[0.5322068333625793, 0.9612276554107666]"
"[0.586362361907959, 0.9587574005126953]"
"[0.6649518013000488, 0.9622462391853333]"
"[0.6423015594482422, 0.9631076455116272]"
"[0.5794354677200317, 0.9621065855026245]"
"[0.6582606434822083, 0.9632063508033752]"
"[0.5998764038085938, 0.960486650466919]"
"[1.1441726684570312, 0.9620381593704224]"
"[0.7247569561004639, 0.960098385810852]"
"[0.4757011830806732, 0.9600810408592224]"
"[0.6300718188285828, 0.9611601233482361]"
"[0.5425282120704651, 0.9619464874267578]"
"[0.4648825228214264, 0.961107611656189]"
"[0.5636073350906372, 0.9615111947059631]"
"[0.5796533823013306, 0.9587878584861755]"
"[0.49703168869018555, 0.9620215892791748]"
"[0.5682467222213745, 0.9617341160774231]"
"[0.6091005802154541, 0.9619849324226379]"
"[0.6230592727661133, 0.9634544849395752]"
"[0.6559513211250305, 0.9596893787384033]"
"[0.63222736120224, 0.9612005949020386]"
"[0.575355589389801, 0.959400475025177]"
"[0.5073335766792297, 0.9600363373756409]"
"[0.5824681520462036, 0.9613040685653687]"
"[0.7638016939163208, 0.9611730575561523]"
"[0.6027206182479858, 0.9607956409454346]"
"[0.50517338514328, 0.9601708054542542]"
"[0.5729007124900818, 0.962745726108551]"
"[0.5505285859107971, 0.9629853963851929]"
"[0.4994860589504242, 0.9606069922447205]"
"[0.5165636539459229, 0.9604697227478027]"
"[0.7008707523345947, 0.9629952907562256]"
"[0.6403107643127441, 0.9622336626052856]"
"[0.4976165294647217, 0.9612215757369995]"
"[0.6184520721435547, 0.9594759345054626]"
"[0.5391254425048828, 0.962143063545227]"
"[0.6394262909889221, 0.9600491523742676]"
"[0.6258640885353088, 0.9634299278259277]"
"[0.45774632692337036, 0.9593290090560913]"
"[0.6227549314498901, 0.9627085328102112]"
"[0.6570701599121094, 0.9614462852478027]"
"[0.7528155446052551, 0.9600580930709839]"
"[0.6163473725318909, 0.9595006108283997]"
"[0.673943281173706, 0.9606644511222839]"
"[0.6483137607574463, 0.9601593613624573]"
"[0.6073822975158691, 0.9607976675033569]"
"[0.606845498085022, 0.9625710844993591]"
"[0.578769862651825, 0.9620604515075684]"
"[0.5288232564926147, 0.9600212574005127]"
"[0.5288547277450562, 0.9633808135986328]"
"[0.4996378421783447, 0.9627939462661743]"
"[0.5436528325080872, 0.9602473974227905]"
"[0.6400302052497864, 0.9618692994117737]"
"[0.4552244544029236, 0.9615741968154907]"
"[0.5204817056655884, 0.9610052108764648]"
"[0.4311886429786682, 0.9635757803916931]"
"[0.5319449305534363, 0.9607197642326355]"
"[0.5585895776748657, 0.961886465549469]"
"[0.5160039663314819, 0.9605818390846252]"
"[0.5806657075881958, 0.9611492156982422]"
"[0.4642817974090576, 0.9626747965812683]"
"[0.5877893567085266, 0.9589635133743286]"
"[0.5246061086654663, 0.9611755013465881]"
"[0.5895107388496399, 0.9637041687965393]"
"[0.47076553106307983, 0.9625323414802551]"
"[0.5211774110794067, 0.9633178114891052]"
"[0.7908157110214233, 0.9635071754455566]"
"[0.6607485413551331, 0.9627676010131836]"
"[1.102739930152893, 0.9624261856079102]"
"[0.6367932558059692, 0.9622317552566528]"
"[0.5360434651374817, 0.9594594836235046]"
"[0.5458070635795593, 0.961081326007843]"
"[0.5108485817909241, 0.963455855846405]"
"[0.6985012292861938, 0.9605196118354797]"
"[0.6034683585166931, 0.961040198802948]"
"[0.6948988437652588, 0.9599441885948181]"
"[0.4552372992038727, 0.9611806273460388]"
"[0.8721816539764404, 0.9617800116539001]"
"[0.6671203374862671, 0.96281898021698]"
"[0.6322635412216187, 0.9634422659873962]"
"[0.6596772074699402, 0.962669312953949]"
"[0.6975651383399963, 0.9597359895706177]"
"[0.5674182772636414, 0.9596357941627502]"
"[0.5976403951644897, 0.9629508852958679]"
"[0.613958477973938, 0.9628870487213135]"
"[0.6295972466468811, 0.960467517375946]"
"[0.634272038936615, 0.9604419469833374]"
"[0.6304515600204468, 0.9605026841163635]"
"[0.5235413908958435, 0.9584059119224548]"
"[0.7779541015625, 0.9621648788452148]"
"[0.7420951724052429, 0.9620155096054077]"
"[0.6911865472793579, 0.959754228591919]"
"[0.7413631081581116, 0.9618456363677979]"
"[0.6043052673339844, 0.9580934047698975]"
"[0.751283586025238, 0.9628320336341858]"
"[0.9850687980651855, 0.9594269394874573]"
"[0.6044634580612183, 0.965169370174408]"
"[0.8644863367080688, 0.963362991809845]"
"[0.7949962615966797, 0.9640273451805115]"
"[0.8043826222419739, 0.961581289768219]"
"[0.47063615918159485, 0.9611756801605225]"
"[0.6821278929710388, 0.9624521136283875]"
"[0.6269478797912598, 0.9598138332366943]"
"[0.6430374383926392, 0.9596350193023682]"
"[0.8006846308708191, 0.9592245817184448]"
"[0.5939794182777405, 0.9616986513137817]"
"[0.6646031141281128, 0.9649702310562134]"
"[0.5866531729698181, 0.9595273733139038]"
"[0.5498162508010864, 0.9646884202957153]"
"[0.5639081597328186, 0.9617860913276672]"
"[0.5183925628662109, 0.960582435131073]"
"[0.6200387477874756, 0.9610680937767029]"
"[0.7494622468948364, 0.9612668752670288]"
"[0.7352092862129211, 0.9629294276237488]"
"[0.8006579875946045, 0.9588676691055298]"
"[0.5261657238006592, 0.9626487493515015]"
"[0.49783357977867126, 0.9614531397819519]"
"[0.8638055920600891, 0.9625283479690552]"
"[0.7015155553817749, 0.9615345001220703]"
"[0.5727307796478271, 0.9617088437080383]"
"[0.49677035212516785, 0.9610028266906738]"
"[0.6183062791824341, 0.9617117643356323]"
"[0.5507673621177673, 0.9615734219551086]"
"[0.5519490838050842, 0.9651879668235779]"
"[0.4793395400047302, 0.9632047414779663]"
"[0.5675020217895508, 0.9623410105705261]"
"[0.7306524515151978, 0.9588849544525146]"
"[0.7721897959709167, 0.9632400870323181]"
"[0.9116670489311218, 0.9634414911270142]"
"[0.551409900188446, 0.9609505534172058]"
"[0.6840734481811523, 0.960048258304596]"
"[0.6252279281616211, 0.9621497392654419]"
"[0.552775502204895, 0.9604316353797913]"
"[0.44617894291877747, 0.9629384875297546]"
"[0.5789203643798828, 0.9640864729881287]"
"[0.6061391234397888, 0.9626408219337463]"
"[0.49403131008148193, 0.964158833026886]"
"[0.5885875225067139, 0.9607784152030945]"
"[0.7106108665466309, 0.9629506468772888]"
"[0.608733594417572, 0.9599067568778992]"
"[0.7968277335166931, 0.9631626605987549]"
"[0.5830358266830444, 0.9608227014541626]"
"[0.4691857695579529, 0.9618847370147705]"
"[0.5234405398368835, 0.9606331586837769]"
"[0.6206151247024536, 0.9633439779281616]"
"[0.6808218359947205, 0.957933247089386]"
"[0.5609440803527832, 0.9633991122245789]"
"[0.6523407697677612, 0.9635185599327087]"
"[0.4937293231487274, 0.9615587592124939]"
"[0.4607536792755127, 0.9603833556175232]"
"[0.7455657720565796, 0.9624413251876831]"
"[0.6089192628860474, 0.9626951813697815]"
"[0.7083765268325806, 0.9621451497077942]"
"[0.5698760747909546, 0.9631563425064087]"
"[0.6464166045188904, 0.9604312777519226]"
"[0.6051698327064514, 0.9637584090232849]"
"[0.5558324456214905, 0.9639007449150085]"
"[0.6988366842269897, 0.9607843160629272]"
"[0.540976881980896, 0.9636740684509277]"
"[0.6223089098930359, 0.9622762203216553]"
"[0.4718569815158844, 0.9624242782592773]"
"[0.6426644921302795, 0.9634603261947632]"
"[0.6658236384391785, 0.9608570337295532]"
"[0.720716655254364, 0.9609609842300415]"
"[0.5443942546844482, 0.962461531162262]"
"[0.6104361414909363, 0.9620205760002136]"
"[0.45542535185813904, 0.9627702236175537]"
"[0.4967360496520996, 0.9652777910232544]"
"[0.5707424879074097, 0.9593724608421326]"
"[0.6854568719863892, 0.9614186882972717]"
"[0.651066243648529, 0.9612871408462524]"
"[0.6136979460716248, 0.9636226296424866]"
"[0.6586949229240417, 0.9604538083076477]"
"[0.4923258423805237, 0.9615561962127686]"
"[0.6735224723815918, 0.9619589447975159]"
"[0.5362697839736938, 0.9598144888877869]"
"[0.606988787651062, 0.960069477558136]"
"[0.552055835723877, 0.960767388343811]"
"[0.7184074521064758, 0.958690345287323]"
"[0.5517343878746033, 0.9602704048156738]"
"[0.6536837816238403, 0.9613234996795654]"
"[0.6540635824203491, 0.9595926403999329]"
"[0.6393064856529236, 0.960121750831604]"
"[0.8703051805496216, 0.9607642292976379]"
"[0.5641736388206482, 0.9620166420936584]"
"[0.813446044921875, 0.9627554416656494]"
"[0.47899121046066284, 0.9610403180122375]"
"[0.6726486086845398, 0.961022675037384]"
"[0.8512898087501526, 0.9616600275039673]"
"[0.5861119031906128, 0.9603559970855713]"
"[0.6652759909629822, 0.9607843160629272]"
"[0.5150154232978821, 0.9623746871948242]"
"[1.0700849294662476, 0.9628644585609436]"
"[0.6833195686340332, 0.961378276348114]"
"[0.6963672041893005, 0.9626539349555969]"
"[0.5883941650390625, 0.9608708024024963]"
"[0.5941793322563171, 0.9599491357803345]"
"[0.7822017669677734, 0.9583210349082947]"
"[0.6276451349258423, 0.9588299989700317]"
"[0.5914172530174255, 0.9613365530967712]"
"[0.4638650119304657, 0.9597476720809937]"
"[0.5612519979476929, 0.9646629095077515]"
"[0.5822970271110535, 0.9606236219406128]"
"[0.5587248802185059, 0.9597738981246948]"
"[0.47551000118255615, 0.958319365978241]"
"[0.7828296422958374, 0.9598093628883362]"
"[0.5720833539962769, 0.9617034196853638]"
"[0.7456973195075989, 0.9605709910392761]"
"[0.7311000227928162, 0.9598524570465088]"
"[0.652511715888977, 0.9597700834274292]"
"[0.6124165654182434, 0.9605755805969238]"
"[0.8412765264511108, 0.9615747332572937]"
"[0.7945137023925781, 0.9595707058906555]"
"[0.7931889295578003, 0.9609841704368591]"
"[0.7173667550086975, 0.9600534439086914]"
"[0.5102643966674805, 0.9629982113838196]"
"[0.593349277973175, 0.9621407389640808]"
"[0.7136563062667847, 0.9644076824188232]"
"[0.7217821478843689, 0.9598547220230103]"
"[0.5008640289306641, 0.9642397165298462]"
"[0.7787847518920898, 0.9631896018981934]"
"[1.1278780698776245, 0.9596998691558838]"
"[0.48560625314712524, 0.9621648788452148]"
"[0.6912075281143188, 0.9627136588096619]"
"[0.6509206295013428, 0.9583628177642822]"
"[0.7866352200508118, 0.9628480076789856]"
"[0.4639310836791992, 0.9636067748069763]"
"[0.6918771862983704, 0.9632361531257629]"
"[0.824131190776825, 0.9581620693206787]"
"[0.7484527230262756, 0.962461531162262]"
"[0.5755511522293091, 0.9601912498474121]"
"[0.571705162525177, 0.9622321128845215]"
"[0.5463686585426331, 0.963870644569397]"
"[0.4956492781639099, 0.9626503586769104]"
"[0.5574527382850647, 0.9631052017211914]"
"[0.6452050805091858, 0.9597123861312866]"
"[0.501681923866272, 0.9581888318061829]"
"[0.6220232248306274, 0.958756685256958]"
"[0.7673690319061279, 0.9608396291732788]"
"[0.6011821031570435, 0.9616661071777344]"
"[0.4977710247039795, 0.9598727226257324]"
"[0.4962071180343628, 0.960256814956665]"
"[0.5544801354408264, 0.9638193249702454]"
"[0.5847389101982117, 0.963775098323822]"
"[0.5097270011901855, 0.9623204469680786]"
"[0.5538288950920105, 0.9611009955406189]"
"[0.5462561249732971, 0.9582211375236511]"
"[0.7376998066902161, 0.9579060077667236]"
"[0.6856725215911865, 0.9595778584480286]"
"[0.679657518863678, 0.9616373777389526]"
"[0.4423525631427765, 0.9619109630584717]"
"[0.7212020754814148, 0.9636398553848267]"
"[0.7898839116096497, 0.9602571129798889]"
"[0.5804958939552307, 0.9634376764297485]"
"[0.6136202812194824, 0.9599066376686096]"
"[0.6633517146110535, 0.9621418714523315]"
"[0.5445550680160522, 0.9637888669967651]"
"[0.5988257527351379, 0.9606735706329346]"
"[0.5817899703979492, 0.9598581790924072]"
"[0.8315761685371399, 0.9600792527198792]"
"[0.4737572968006134, 0.9624454975128174]"
"[0.4609382748603821, 0.9632561206817627]"
"[0.7593988180160522, 0.9587796926498413]"
"[0.5273614525794983, 0.9626800417900085]"
"[0.6176005005836487, 0.9606451392173767]"
"[0.5883062481880188, 0.9626905918121338]"
"[0.4700038731098175, 0.9598644971847534]"
"[0.45555996894836426, 0.9605472087860107]"
"[0.532492995262146, 0.9641463160514832]"
"[0.5232608914375305, 0.9577005505561829]"
"[0.6014854311943054, 0.961508572101593]"
"[0.4818549156188965, 0.9664597511291504]"
"[0.6150419116020203, 0.9587618708610535]"
"[0.5076085329055786, 0.9631317853927612]"
"[0.8655019998550415, 0.960085928440094]"
"[0.6825119256973267, 0.9584119319915771]"
"[0.4616820514202118, 0.961800217628479]"
"[0.5574974417686462, 0.9632776975631714]"
"[0.572093665599823, 0.9613161087036133]"
"[0.7297477126121521, 0.9610627293586731]"
"[0.550209105014801, 0.9609891772270203]"
"[0.7389620542526245, 0.9579092264175415]"
"[0.7789144515991211, 0.9631370306015015]"
"[0.6543384194374084, 0.9613560438156128]"
"[0.598226010799408, 0.9608857035636902]"
"[0.5810540914535522, 0.9616681933403015]"
"[0.708026647567749, 0.9573619365692139]"
"[0.46345824003219604, 0.9623271822929382]"
"[0.6812872290611267, 0.9598100781440735]"
"[0.7424885034561157, 0.9586265683174133]"
"[0.5193542838096619, 0.9612017273902893]"
"[0.5014981031417847, 0.9589281678199768]"
"[0.6402308940887451, 0.9588907957077026]"
"[0.5354859828948975, 0.9619565606117249]"
"[0.6848952770233154, 0.9584346413612366]"
"[0.7412667870521545, 0.9624851942062378]"
"[0.6132690906524658, 0.9626666307449341]"
"[0.41557201743125916, 0.963011622428894]"
"[0.634509801864624, 0.9618288278579712]"
"[0.6776653528213501, 0.9629299640655518]"
"[0.4731544256210327, 0.9623691439628601]"
"[0.5715672969818115, 0.9595533013343811]"
"[0.7636785507202148, 0.9620328545570374]"
"[0.6983975768089294, 0.961533784866333]"
"[0.6212472915649414, 0.9622839093208313]"
"[1.0477863550186157, 0.9632041454315186]"
"[0.8721754550933838, 0.9608069062232971]"
"[0.6388819813728333, 0.9595215320587158]"
"[0.5267360210418701, 0.9591008424758911]"
"[0.5132609009742737, 0.96261066198349]"
"[0.7274984121322632, 0.9597559571266174]"
"[0.8184651136398315, 0.962340235710144]"
"[0.6483261585235596, 0.9640295505523682]"
"[0.48621222376823425, 0.960053026676178]"
"[0.506395161151886, 0.9585804343223572]"
"[0.6756303906440735, 0.9641270041465759]"
"[0.6513504385948181, 0.9618467688560486]"
"[0.5411713123321533, 0.9592592120170593]"
"[0.5961567759513855, 0.9601760506629944]"
"[0.5928145051002502, 0.9588463306427002]"
"[0.5559481382369995, 0.9610390067100525]"
"[0.8011329174041748, 0.9611955285072327]"
"[0.4590446949005127, 0.9621235132217407]"
"[0.5751250982284546, 0.9637159705162048]"
"[0.538181722164154, 0.9609969258308411]"
"[0.5306355953216553, 0.9628465175628662]"
"[0.625634491443634, 0.9639385938644409]"
"[0.601093590259552, 0.9615949392318726]"
"[0.632061779499054, 0.9616113901138306]"
"[0.673381507396698, 0.960606038570404]"
"[0.45795944333076477, 0.9605609774589539]"
"[0.5576496124267578, 0.9623414278030396]"
"[0.6601612567901611, 0.9615993499755859]"
"[0.5970057845115662, 0.9594393372535706]"
"[0.6595310568809509, 0.9638234972953796]"
"[0.5536548495292664, 0.9617195129394531]"
"[0.6483267545700073, 0.9603886008262634]"
"[0.6675731539726257, 0.9602385759353638]"
"[0.6137809753417969, 0.9578609466552734]"
"[0.5943848490715027, 0.9592735767364502]"
"[0.6515452861785889, 0.964439868927002]"
"[0.5577825903892517, 0.9630570411682129]"
"[0.4453825354576111, 0.962178647518158]"
"[0.4124549627304077, 0.9664133787155151]"
"[0.7325655221939087, 0.9625305533409119]"
"[0.51349937915802, 0.964111864566803]"
"[0.6735555529594421, 0.9596531987190247]"
"[0.49943917989730835, 0.9634343981742859]"
"[0.5831740498542786, 0.9626531004905701]"
"[0.5145533084869385, 0.9613232016563416]"
"[0.5718752145767212, 0.9641671776771545]"
"[0.5261572599411011, 0.962144136428833]"
"[0.5931366682052612, 0.9607416391372681]"
"[0.6158901453018188, 0.962942361831665]"
"[0.6782196760177612, 0.962999701499939]"
"[0.4420851469039917, 0.9634578227996826]"
"[0.5167431235313416, 0.9622083902359009]"
"[0.7237973809242249, 0.9631542563438416]"
"[0.8492752313613892, 0.9582624435424805]"
"[0.5630173683166504, 0.962576687335968]"
"[0.5720694065093994, 0.9616906046867371]"
"[0.48331546783447266, 0.961240291595459]"
"[0.6233940720558167, 0.9622507095336914]"
"[0.9580052495002747, 0.9612928628921509]"
"[0.5157846808433533, 0.963736891746521]"
"[0.6491690278053284, 0.9613135457038879]"
"[0.45471394062042236, 0.9612951278686523]"
"[0.641720175743103, 0.9611971378326416]"
"[0.5682002902030945, 0.9621734619140625]"
"[0.4783017337322235, 0.9660272002220154]"
"[0.5021681189537048, 0.9617741703987122]"
"[0.6750154495239258, 0.9624235033988953]"
"[0.5419368147850037, 0.9628034830093384]"
"[0.5307408571243286, 0.9613281488418579]"
"[0.555122435092926, 0.9630661606788635]"
"[0.6160075068473816, 0.9638472199440002]"
"[0.5781545639038086, 0.9629411697387695]"
"[0.554707407951355, 0.9622939229011536]"
"[0.48247605562210083, 0.9625555872917175]"
"[0.664623498916626, 0.9633405804634094]"
"[0.5484025478363037, 0.9635147452354431]"
"[0.8421751260757446, 0.9602563977241516]"
"[0.5038284659385681, 0.9624545574188232]"
"[0.4711661636829376, 0.9612909555435181]"
"[0.8019012808799744, 0.9645801782608032]"
"[0.5960347652435303, 0.9641009569168091]"
"[0.8190284967422485, 0.9625397324562073]"
"[0.758670449256897, 0.9614229202270508]"
"[0.5540046095848083, 0.9609802961349487]"
"[0.5539540648460388, 0.9629888534545898]"
"[0.7215989828109741, 0.9638288021087646]"
"[0.6186161041259766, 0.9631109833717346]"
"[0.7943636178970337, 0.9607215523719788]"
"[0.6568846106529236, 0.9609618782997131]"
"[0.6132901906967163, 0.9586089849472046]"
"[0.7632759213447571, 0.9623621106147766]"
"[0.7449822425842285, 0.9552167057991028]"
"[0.6170632839202881, 0.9604323506355286]"
"[0.6754827499389648, 0.9607124924659729]"
"[0.7456377148628235, 0.9627937078475952]"
"[0.5668850541114807, 0.961462676525116]"
"[0.5639151334762573, 0.9617597460746765]"
"[0.622857391834259, 0.9605117440223694]"
"[0.8150748014450073, 0.9636271595954895]"
"[0.57065349817276, 0.9632136821746826]"
"[0.7153414487838745, 0.9634121656417847]"
"[0.7144779562950134, 0.9609240889549255]"
"[0.5982676148414612, 0.9631031155586243]"
"[0.5638201236724854, 0.9630537629127502]"
"[0.5402199029922485, 0.9612736701965332]"
"[0.9668111801147461, 0.9646111130714417]"
"[0.5655636787414551, 0.9627434611320496]"
"[0.7331205606460571, 0.9625645875930786]"
"[0.7698690295219421, 0.961466372013092]"
"[0.4601864814758301, 0.9634286761283875]"
"[0.6107358336448669, 0.962607204914093]"
"[0.6765282154083252, 0.9625144004821777]"
"[0.536040186882019, 0.9607905149459839]"
"[0.5761511325836182, 0.9610339403152466]"
"[0.5962173938751221, 0.9603356122970581]"
"[0.5490027666091919, 0.961357057094574]"
"[0.6633535623550415, 0.9616509675979614]"
"[0.4953365921974182, 0.9609717130661011]"
"[0.7093536853790283, 0.9634969830513]"
"[0.5800236463546753, 0.9617031216621399]"
"[0.4846229553222656, 0.9611700773239136]"
"[0.7691422700881958, 0.9587094187736511]"
"[0.5625014305114746, 0.961010754108429]"
"[0.6129848957061768, 0.9630462527275085]"
"[0.5170825123786926, 0.9613597989082336]"
"[0.4520510733127594, 0.9622417092323303]"
"[0.7141261100769043, 0.961794912815094]"
"[0.5588982105255127, 0.9606999158859253]"
"[0.5890256762504578, 0.9605263471603394]"
"[0.567824125289917, 0.9613434672355652]"
"[0.4850345849990845, 0.9627070426940918]"
"[0.8804036378860474, 0.9618143439292908]"
"[0.7584430575370789, 0.9625734686851501]"
"[0.7249688506126404, 0.9579757452011108]"
"[0.6559150815010071, 0.9609599113464355]"
"[0.534881591796875, 0.9601932168006897]"
"[0.5502123832702637, 0.961685836315155]"
"[0.6711265444755554, 0.9614760279655457]"
"[0.7688552141189575, 0.9605932831764221]"
"[0.6153781414031982, 0.9583067297935486]"
"[0.6583048105239868, 0.9629743695259094]"
"[0.5539464354515076, 0.9660269021987915]"
"[0.7234910726547241, 0.9608379006385803]"
"[0.6811440587043762, 0.9609981179237366]"
"[0.5706853866577148, 0.9629120826721191]"
"[0.5439957976341248, 0.9618333578109741]"
"[0.5258833169937134, 0.9595215320587158]"
"[0.5320445895195007, 0.9628620147705078]"
"[0.734607458114624, 0.9594193696975708]"
"[0.7231831550598145, 0.959489643573761]"
"[0.607258141040802, 0.9618055820465088]"
"[0.6577630043029785, 0.96079021692276]"
"[0.5491939783096313, 0.9619236588478088]"
"[0.5919716358184814, 0.9582580924034119]"
"[0.6097121238708496, 0.9613452553749084]"
"[0.621695876121521, 0.9586116075515747]"
"[0.5718673467636108, 0.9612403512001038]"
"[0.5046017169952393, 0.9656797051429749]"
"[0.633715808391571, 0.9592679142951965]"
"[0.4579702317714691, 0.964928150177002]"
"[0.8286356329917908, 0.9597887396812439]"
"[0.5569573640823364, 0.9599868655204773]"
"[0.9056463241577148, 0.9615086317062378]"
"[0.5577501058578491, 0.9597564935684204]"
"[0.6458091735839844, 0.9593580365180969]"
"[0.6340096592903137, 0.9582507014274597]"
"[0.6150690913200378, 0.9593052864074707]"
"[0.8995555639266968, 0.9587967395782471]"
"[0.5321224927902222, 0.9633652567863464]"
"[0.549902081489563, 0.9634864330291748]"
"[0.8750886917114258, 0.9630935192108154]"
"[0.4603215456008911, 0.9639586806297302]"
"[0.6371704339981079, 0.9636327028274536]"
"[0.7471259236335754, 0.9617647528648376]"
"[0.5913972854614258, 0.9616643190383911]"
"[0.6366227865219116, 0.9608554840087891]"
"[0.6270322799682617, 0.9627810120582581]"
"[0.6392098069190979, 0.9628279209136963]"
"[0.6546224355697632, 0.9620934724807739]"
"[0.7809101343154907, 0.9611921906471252]"
"[0.5312079191207886, 0.9602671265602112]"
"[0.5244755148887634, 0.9609073400497437]"
"[0.49849414825439453, 0.9606127142906189]"
"[0.6089659929275513, 0.9627832174301147]"
"[0.4744696021080017, 0.9613105654716492]"
"[0.5157843828201294, 0.962046205997467]"
"[0.506534218788147, 0.9605966806411743]"
"[0.4493602216243744, 0.9624605774879456]"
